选手编号,评委一,打分一,评委二,打分二,评委三,打分三
1,Judge_248,75,Judge_171,33,Judge_5,77
2,Judge_39,60,Judge_207,38,Judge_63,74
3,Judge_244,99,Judge_171,49,Judge_89,93
4,Judge_163,76,Judge_221,44,Judge_142,92
5,Judge_206,70,Judge_112,100,Judge_260,70
6,Judge_65,34,Judge_119,43,Judge_129,65
7,Judge_163,33,Judge_206,86,Judge_7,72
8,Judge_10,89,Judge_153,85,Judge_253,98
9,Judge_168,41,Judge_214,74,Judge_31,67
10,Judge_112,100,Judge_288,48,Judge_69,59
11,Judge_55,86,Judge_83,40,Judge_68,73
12,Judge_5,56,Judge_158,84,Judge_256,73
13,Judge_77,93,Judge_59,85,Judge_258,57
14,Judge_287,92,Judge_229,63,Judge_197,61
15,Judge_264,49,Judge_280,39,Judge_197,90
16,Judge_58,62,Judge_59,74,Judge_140,42
17,Judge_87,44,Judge_172,99,Judge_150,71
18,Judge_31,42,Judge_25,42,Judge_226,82
19,Judge_15,66,Judge_184,83,Judge_84,99
20,Judge_211,31,Judge_196,43,Judge_17,33
21,Judge_58,57,Judge_137,44,Judge_281,53
22,Judge_240,46,Judge_69,36,Judge_150,73
23,Judge_145,33,Judge_262,37,Judge_279,75
24,Judge_158,95,Judge_281,47,Judge_39,81
25,Judge_86,44,Judge_178,53,Judge_2,83
26,Judge_81,61,Judge_276,62,Judge_157,47
27,Judge_291,59,Judge_246,62,Judge_191,96
28,Judge_176,93,Judge_106,100,Judge_133,91
29,Judge_24,94,Judge_250,92,Judge_279,67
30,Judge_261,48,Judge_55,78,Judge_145,70
31,Judge_116,78,Judge_42,99,Judge_37,100
32,Judge_184,62,Judge_29,76,Judge_65,73
33,Judge_72,36,Judge_266,89,Judge_225,97
34,Judge_270,70,Judge_63,90,Judge_272,72
35,Judge_110,70,Judge_2,61,Judge_296,40
36,Judge_89,90,Judge_120,67,Judge_86,66
37,Judge_114,85,Judge_261,90,Judge_74,68
38,Judge_273,72,Judge_101,56,Judge_65,65
39,Judge_32,67,Judge_15,69,Judge_143,45
40,Judge_193,45,Judge_121,91,Judge_285,93
41,Judge_9,56,Judge_221,77,Judge_127,32
42,Judge_276,71,Judge_147,84,Judge_159,67
43,Judge_19,65,Judge_73,85,Judge_134,67
44,Judge_66,94,Judge_285,49,Judge_63,98
45,Judge_45,91,Judge_50,59,Judge_238,42
46,Judge_260,58,Judge_111,62,Judge_216,43
47,Judge_278,49,Judge_151,96,Judge_295,58
48,Judge_288,87,Judge_40,32,Judge_236,88
49,Judge_227,53,Judge_58,48,Judge_191,58
50,Judge_28,98,Judge_299,79,Judge_8,41
51,Judge_79,94,Judge_223,85,Judge_222,53
52,Judge_106,84,Judge_84,69,Judge_286,67
53,Judge_287,56,Judge_132,51,Judge_34,68
54,Judge_296,85,Judge_14,91,Judge_75,94
55,Judge_266,71,Judge_241,60,Judge_151,83
56,Judge_122,83,Judge_14,89,Judge_275,51
57,Judge_187,47,Judge_92,61,Judge_163,96
58,Judge_72,59,Judge_243,93,Judge_240,59
59,Judge_272,72,Judge_93,64,Judge_83,81
60,Judge_220,62,Judge_176,45,Judge_166,58
61,Judge_166,76,Judge_214,73,Judge_215,70
62,Judge_113,67,Judge_141,44,Judge_200,91
63,Judge_170,94,Judge_278,72,Judge_236,40
64,Judge_96,97,Judge_152,77,Judge_11,47
65,Judge_215,76,Judge_237,35,Judge_251,33
66,Judge_250,69,Judge_136,79,Judge_158,75
67,Judge_293,70,Judge_278,92,Judge_206,49
68,Judge_267,30,Judge_106,67,Judge_298,94
69,Judge_42,85,Judge_281,53,Judge_62,42
70,Judge_274,30,Judge_223,35,Judge_144,36
71,Judge_249,96,Judge_287,68,Judge_284,75
72,Judge_20,55,Judge_75,80,Judge_191,54
73,Judge_151,36,Judge_71,41,Judge_250,90
74,Judge_97,83,Judge_145,47,Judge_261,71
75,Judge_72,78,Judge_41,75,Judge_145,62
76,Judge_199,71,Judge_208,31,Judge_265,35
77,Judge_175,50,Judge_203,60,Judge_286,83
78,Judge_161,74,Judge_191,45,Judge_164,76
79,Judge_18,32,Judge_259,62,Judge_245,78
80,Judge_209,79,Judge_72,60,Judge_298,52
81,Judge_176,60,Judge_154,65,Judge_231,71
82,Judge_222,55,Judge_189,37,Judge_143,74
83,Judge_279,67,Judge_45,76,Judge_8,73
84,Judge_247,79,Judge_198,99,Judge_34,83
85,Judge_19,92,Judge_245,58,Judge_86,83
86,Judge_102,74,Judge_138,33,Judge_240,62
87,Judge_282,95,Judge_153,32,Judge_161,79
88,Judge_107,47,Judge_198,64,Judge_274,100
89,Judge_233,73,Judge_118,54,Judge_13,68
90,Judge_65,97,Judge_167,96,Judge_56,34
91,Judge_35,54,Judge_201,73,Judge_26,50
92,Judge_201,47,Judge_17,33,Judge_48,32
93,Judge_296,45,Judge_221,95,Judge_290,33
94,Judge_247,47,Judge_291,55,Judge_25,40
95,Judge_75,56,Judge_84,59,Judge_41,66
96,Judge_121,39,Judge_92,53,Judge_20,83
97,Judge_18,31,Judge_276,60,Judge_297,31
98,Judge_109,67,Judge_233,93,Judge_128,47
99,Judge_49,30,Judge_161,70,Judge_295,51
100,Judge_127,70,Judge_95,68,Judge_64,40
101,Judge_288,74,Judge_264,100,Judge_115,67
102,Judge_248,76,Judge_5,63,Judge_139,77
103,Judge_285,88,Judge_8,39,Judge_185,91
104,Judge_161,36,Judge_210,69,Judge_30,78
105,Judge_122,100,Judge_4,42,Judge_177,95
106,Judge_207,74,Judge_236,67,Judge_38,74
107,Judge_216,40,Judge_223,36,Judge_100,82
108,Judge_16,63,Judge_198,73,Judge_89,33
109,Judge_249,53,Judge_29,88,Judge_101,100
110,Judge_56,35,Judge_178,70,Judge_184,53
111,Judge_76,38,Judge_133,38,Judge_159,59
112,Judge_189,44,Judge_130,76,Judge_102,61
113,Judge_97,100,Judge_80,68,Judge_5,94
114,Judge_96,77,Judge_237,57,Judge_219,43
115,Judge_242,91,Judge_130,87,Judge_77,93
116,Judge_167,35,Judge_31,78,Judge_255,65
117,Judge_80,66,Judge_159,43,Judge_267,79
118,Judge_284,68,Judge_196,55,Judge_46,89
119,Judge_291,42,Judge_212,45,Judge_73,55
120,Judge_5,87,Judge_275,36,Judge_22,33
121,Judge_298,32,Judge_127,66,Judge_146,64
122,Judge_181,46,Judge_280,90,Judge_105,33
123,Judge_148,73,Judge_265,79,Judge_68,75
124,Judge_293,100,Judge_141,97,Judge_208,54
125,Judge_269,35,Judge_285,73,Judge_152,52
126,Judge_167,57,Judge_67,45,Judge_106,44
127,Judge_150,79,Judge_249,93,Judge_85,65
128,Judge_25,99,Judge_33,88,Judge_250,74
129,Judge_242,86,Judge_49,97,Judge_22,81
130,Judge_161,46,Judge_248,45,Judge_269,80
131,Judge_125,66,Judge_3,46,Judge_50,66
132,Judge_7,84,Judge_205,51,Judge_199,92
133,Judge_49,33,Judge_275,86,Judge_176,79
134,Judge_93,53,Judge_115,61,Judge_270,94
135,Judge_137,50,Judge_217,88,Judge_65,68
136,Judge_171,81,Judge_108,86,Judge_174,35
137,Judge_86,60,Judge_211,38,Judge_216,88
138,Judge_294,54,Judge_203,62,Judge_71,94
139,Judge_242,100,Judge_107,56,Judge_58,41
140,Judge_86,39,Judge_155,44,Judge_216,74
141,Judge_92,41,Judge_75,87,Judge_265,100
142,Judge_283,44,Judge_158,41,Judge_172,94
143,Judge_28,64,Judge_229,51,Judge_226,60
144,Judge_265,49,Judge_57,76,Judge_89,95
145,Judge_179,95,Judge_20,91,Judge_16,95
146,Judge_97,80,Judge_119,59,Judge_257,98
147,Judge_97,89,Judge_192,65,Judge_246,53
148,Judge_29,30,Judge_239,50,Judge_232,81
149,Judge_105,54,Judge_219,49,Judge_104,43
150,Judge_258,65,Judge_143,87,Judge_73,61
151,Judge_70,86,Judge_51,83,Judge_160,72
152,Judge_102,85,Judge_73,48,Judge_257,97
153,Judge_3,85,Judge_14,86,Judge_168,32
154,Judge_135,99,Judge_69,68,Judge_174,54
155,Judge_171,64,Judge_286,42,Judge_174,40
156,Judge_60,34,Judge_82,96,Judge_78,80
157,Judge_78,76,Judge_81,94,Judge_116,98
158,Judge_300,56,Judge_288,31,Judge_55,50
159,Judge_66,49,Judge_280,63,Judge_234,34
160,Judge_174,73,Judge_2,95,Judge_152,37
161,Judge_71,32,Judge_209,35,Judge_99,95
162,Judge_12,57,Judge_232,75,Judge_256,34
163,Judge_44,89,Judge_61,35,Judge_266,35
164,Judge_65,82,Judge_153,41,Judge_168,77
165,Judge_103,50,Judge_290,80,Judge_21,56
166,Judge_206,94,Judge_119,60,Judge_268,72
167,Judge_13,87,Judge_221,44,Judge_246,95
168,Judge_195,94,Judge_11,74,Judge_273,35
169,Judge_129,51,Judge_76,66,Judge_180,37
170,Judge_169,91,Judge_247,42,Judge_85,91
171,Judge_236,94,Judge_17,45,Judge_183,85
172,Judge_56,40,Judge_251,93,Judge_238,98
173,Judge_7,60,Judge_267,31,Judge_30,75
174,Judge_215,63,Judge_213,93,Judge_154,54
175,Judge_200,83,Judge_257,41,Judge_135,92
176,Judge_270,40,Judge_100,76,Judge_167,48
177,Judge_218,80,Judge_254,82,Judge_98,53
178,Judge_296,61,Judge_273,97,Judge_4,53
179,Judge_161,58,Judge_69,68,Judge_79,31
180,Judge_298,55,Judge_120,62,Judge_148,86
181,Judge_168,74,Judge_182,74,Judge_204,71
182,Judge_189,55,Judge_294,98,Judge_103,64
183,Judge_289,77,Judge_222,73,Judge_76,93
184,Judge_125,36,Judge_144,32,Judge_272,54
185,Judge_48,52,Judge_69,80,Judge_131,70
186,Judge_187,83,Judge_5,35,Judge_149,48
187,Judge_77,55,Judge_211,87,Judge_70,41
188,Judge_211,31,Judge_98,80,Judge_94,32
189,Judge_149,36,Judge_94,98,Judge_239,91
190,Judge_87,39,Judge_195,78,Judge_293,33
191,Judge_59,47,Judge_221,31,Judge_8,82
192,Judge_58,89,Judge_144,53,Judge_9,100
193,Judge_47,48,Judge_271,63,Judge_201,71
194,Judge_131,80,Judge_300,49,Judge_123,48
195,Judge_21,66,Judge_87,60,Judge_262,73
196,Judge_131,36,Judge_126,92,Judge_169,35
197,Judge_145,46,Judge_117,48,Judge_182,90
198,Judge_43,36,Judge_177,100,Judge_99,40
199,Judge_141,67,Judge_81,77,Judge_256,47
200,Judge_140,33,Judge_96,98,Judge_200,37
201,Judge_27,95,Judge_7,96,Judge_80,73
202,Judge_143,68,Judge_167,97,Judge_209,49
203,Judge_164,55,Judge_158,33,Judge_184,51
204,Judge_85,47,Judge_291,50,Judge_272,54
205,Judge_123,100,Judge_269,32,Judge_108,64
206,Judge_38,62,Judge_280,70,Judge_223,96
207,Judge_91,42,Judge_285,77,Judge_234,64
208,Judge_192,45,Judge_54,100,Judge_83,88
209,Judge_69,82,Judge_90,38,Judge_61,62
210,Judge_130,55,Judge_12,87,Judge_229,91
211,Judge_44,39,Judge_255,78,Judge_145,43
212,Judge_298,33,Judge_133,47,Judge_267,35
213,Judge_198,65,Judge_165,72,Judge_195,88
214,Judge_217,84,Judge_220,78,Judge_207,34
215,Judge_299,59,Judge_86,53,Judge_1,44
216,Judge_227,64,Judge_132,66,Judge_208,86
217,Judge_140,64,Judge_29,42,Judge_290,75
218,Judge_32,99,Judge_201,35,Judge_72,42
219,Judge_205,68,Judge_139,58,Judge_236,64
220,Judge_244,31,Judge_240,62,Judge_286,43
221,Judge_105,73,Judge_295,97,Judge_34,39
222,Judge_244,33,Judge_157,46,Judge_126,88
223,Judge_111,45,Judge_66,81,Judge_107,72
224,Judge_137,98,Judge_6,92,Judge_300,95
225,Judge_121,79,Judge_100,80,Judge_207,80
226,Judge_223,90,Judge_132,43,Judge_12,71
227,Judge_52,81,Judge_284,87,Judge_113,100
228,Judge_119,85,Judge_38,48,Judge_287,51
229,Judge_195,65,Judge_252,48,Judge_4,61
230,Judge_28,62,Judge_263,31,Judge_29,86
231,Judge_42,99,Judge_192,38,Judge_65,47
232,Judge_21,63,Judge_229,81,Judge_233,61
233,Judge_124,59,Judge_75,55,Judge_40,43
234,Judge_282,93,Judge_109,71,Judge_32,78
235,Judge_230,77,Judge_148,91,Judge_182,63
236,Judge_271,56,Judge_227,45,Judge_192,86
237,Judge_14,62,Judge_216,85,Judge_121,49
238,Judge_259,76,Judge_83,100,Judge_190,62
239,Judge_88,85,Judge_155,54,Judge_37,53
240,Judge_22,87,Judge_209,68,Judge_246,84
241,Judge_49,79,Judge_33,89,Judge_71,36
242,Judge_59,82,Judge_69,45,Judge_60,68
243,Judge_212,76,Judge_274,53,Judge_38,64
244,Judge_1,80,Judge_112,62,Judge_43,36
245,Judge_224,49,Judge_25,78,Judge_87,97
246,Judge_50,75,Judge_16,55,Judge_269,74
247,Judge_115,99,Judge_236,64,Judge_12,98
248,Judge_54,38,Judge_109,41,Judge_150,55
249,Judge_74,69,Judge_264,94,Judge_111,39
250,Judge_153,66,Judge_180,83,Judge_297,55
251,Judge_250,78,Judge_149,50,Judge_155,84
252,Judge_168,98,Judge_292,73,Judge_25,56
253,Judge_173,65,Judge_55,87,Judge_93,78
254,Judge_79,40,Judge_268,39,Judge_241,77
255,Judge_3,73,Judge_182,53,Judge_161,36
256,Judge_293,52,Judge_241,62,Judge_6,84
257,Judge_138,53,Judge_210,47,Judge_90,74
258,Judge_143,87,Judge_264,42,Judge_157,55
259,Judge_58,68,Judge_188,94,Judge_221,86
260,Judge_299,99,Judge_80,30,Judge_87,99
261,Judge_294,88,Judge_216,35,Judge_146,87
262,Judge_113,94,Judge_90,45,Judge_262,75
263,Judge_10,68,Judge_243,54,Judge_170,99
264,Judge_245,45,Judge_35,91,Judge_278,86
265,Judge_211,94,Judge_141,80,Judge_70,98
266,Judge_300,41,Judge_177,72,Judge_18,94
267,Judge_136,98,Judge_26,69,Judge_120,82
268,Judge_224,96,Judge_236,72,Judge_129,88
269,Judge_190,80,Judge_186,74,Judge_124,83
270,Judge_238,39,Judge_56,45,Judge_41,97
271,Judge_206,86,Judge_145,52,Judge_91,62
272,Judge_19,33,Judge_248,52,Judge_108,63
273,Judge_58,98,Judge_152,84,Judge_111,68
274,Judge_29,88,Judge_73,36,Judge_210,51
275,Judge_218,77,Judge_184,93,Judge_147,56
276,Judge_260,70,Judge_95,53,Judge_51,30
277,Judge_165,64,Judge_162,61,Judge_149,32
278,Judge_271,70,Judge_138,76,Judge_185,62
279,Judge_156,84,Judge_136,64,Judge_216,46
280,Judge_94,68,Judge_101,96,Judge_185,47
281,Judge_225,35,Judge_230,74,Judge_203,89
282,Judge_204,72,Judge_25,73,Judge_245,63
283,Judge_278,74,Judge_166,48,Judge_23,33
284,Judge_100,48,Judge_140,98,Judge_238,82
285,Judge_180,73,Judge_136,37,Judge_76,67
286,Judge_24,36,Judge_224,61,Judge_289,38
287,Judge_115,61,Judge_200,94,Judge_246,93
288,Judge_232,83,Judge_126,61,Judge_227,84
289,Judge_139,90,Judge_202,83,Judge_276,83
290,Judge_20,100,Judge_268,89,Judge_296,51
291,Judge_128,61,Judge_282,91,Judge_63,44
292,Judge_127,75,Judge_217,98,Judge_202,68
293,Judge_61,98,Judge_28,75,Judge_46,90
294,Judge_83,56,Judge_77,99,Judge_185,45
295,Judge_122,59,Judge_15,79,Judge_272,98
296,Judge_15,98,Judge_4,63,Judge_61,32
297,Judge_262,57,Judge_75,61,Judge_20,85
298,Judge_234,76,Judge_189,80,Judge_157,72
299,Judge_143,99,Judge_154,55,Judge_90,46
300,Judge_137,42,Judge_148,96,Judge_39,33
301,Judge_295,66,Judge_191,63,Judge_197,42
302,Judge_254,87,Judge_291,100,Judge_269,59
303,Judge_160,89,Judge_126,88,Judge_194,65
304,Judge_128,57,Judge_26,77,Judge_6,30
305,Judge_70,34,Judge_155,95,Judge_24,56
306,Judge_202,89,Judge_73,98,Judge_137,58
307,Judge_213,40,Judge_181,34,Judge_68,41
308,Judge_112,65,Judge_98,90,Judge_208,95
309,Judge_237,82,Judge_125,95,Judge_92,50
310,Judge_151,35,Judge_5,100,Judge_141,77
311,Judge_86,40,Judge_21,98,Judge_11,62
312,Judge_186,99,Judge_74,43,Judge_264,84
313,Judge_146,68,Judge_257,100,Judge_67,84
314,Judge_203,41,Judge_60,68,Judge_151,33
315,Judge_110,37,Judge_226,41,Judge_133,76
316,Judge_193,100,Judge_45,31,Judge_136,91
317,Judge_175,83,Judge_17,82,Judge_264,62
318,Judge_71,58,Judge_151,31,Judge_209,72
319,Judge_100,90,Judge_143,99,Judge_61,55
320,Judge_36,42,Judge_83,37,Judge_96,50
321,Judge_93,96,Judge_254,32,Judge_46,98
322,Judge_286,34,Judge_293,45,Judge_189,73
323,Judge_217,34,Judge_202,33,Judge_292,32
324,Judge_110,74,Judge_9,55,Judge_294,97
325,Judge_180,43,Judge_72,36,Judge_123,52
326,Judge_75,67,Judge_54,69,Judge_278,92
327,Judge_253,79,Judge_172,77,Judge_31,50
328,Judge_265,92,Judge_58,37,Judge_40,55
329,Judge_121,50,Judge_3,60,Judge_123,60
330,Judge_172,77,Judge_146,68,Judge_19,68
331,Judge_133,47,Judge_124,98,Judge_2,58
332,Judge_29,70,Judge_57,93,Judge_281,89
333,Judge_261,90,Judge_233,67,Judge_235,52
334,Judge_220,37,Judge_132,51,Judge_91,58
335,Judge_129,93,Judge_266,70,Judge_24,69
336,Judge_117,99,Judge_184,35,Judge_114,95
337,Judge_120,89,Judge_66,86,Judge_192,80
338,Judge_183,88,Judge_16,100,Judge_50,67
339,Judge_3,98,Judge_11,41,Judge_45,84
340,Judge_214,38,Judge_173,36,Judge_239,45
341,Judge_208,100,Judge_22,55,Judge_250,79
342,Judge_155,72,Judge_10,71,Judge_11,77
343,Judge_135,67,Judge_155,45,Judge_14,92
344,Judge_122,77,Judge_99,43,Judge_151,67
345,Judge_267,75,Judge_16,30,Judge_279,45
346,Judge_96,87,Judge_245,94,Judge_295,95
347,Judge_279,65,Judge_226,90,Judge_222,81
348,Judge_244,98,Judge_227,81,Judge_6,75
349,Judge_266,55,Judge_272,100,Judge_51,57
350,Judge_169,49,Judge_258,91,Judge_13,86
351,Judge_205,31,Judge_290,65,Judge_89,51
352,Judge_208,58,Judge_145,80,Judge_115,68
353,Judge_95,30,Judge_219,56,Judge_50,42
354,Judge_111,59,Judge_123,73,Judge_30,98
355,Judge_57,43,Judge_36,98,Judge_227,36
356,Judge_248,45,Judge_198,90,Judge_218,89
357,Judge_189,56,Judge_224,63,Judge_247,95
358,Judge_40,52,Judge_71,76,Judge_178,78
359,Judge_176,75,Judge_35,60,Judge_51,85
360,Judge_9,44,Judge_287,61,Judge_38,69
361,Judge_251,32,Judge_103,65,Judge_52,64
362,Judge_64,34,Judge_105,91,Judge_60,93
363,Judge_292,62,Judge_147,41,Judge_211,43
364,Judge_35,93,Judge_13,80,Judge_225,60
365,Judge_199,49,Judge_104,92,Judge_176,92
366,Judge_162,67,Judge_46,44,Judge_34,59
367,Judge_250,100,Judge_31,69,Judge_264,94
368,Judge_16,37,Judge_268,36,Judge_60,33
369,Judge_167,96,Judge_258,54,Judge_92,79
370,Judge_89,38,Judge_163,33,Judge_33,48
371,Judge_123,72,Judge_15,99,Judge_37,51
372,Judge_61,85,Judge_82,82,Judge_271,61
373,Judge_194,57,Judge_41,71,Judge_21,71
374,Judge_294,36,Judge_262,72,Judge_260,51
375,Judge_137,96,Judge_195,81,Judge_235,84
376,Judge_195,69,Judge_7,43,Judge_30,46
377,Judge_293,67,Judge_175,61,Judge_110,97
378,Judge_94,100,Judge_134,67,Judge_38,65
379,Judge_146,91,Judge_68,73,Judge_79,80
380,Judge_268,71,Judge_254,44,Judge_276,66
381,Judge_289,34,Judge_67,92,Judge_51,34
382,Judge_107,81,Judge_152,48,Judge_195,71
383,Judge_239,37,Judge_201,85,Judge_159,50
384,Judge_35,96,Judge_41,59,Judge_75,64
385,Judge_47,38,Judge_15,75,Judge_297,37
386,Judge_67,96,Judge_126,80,Judge_247,65
387,Judge_52,94,Judge_104,95,Judge_102,32
388,Judge_230,40,Judge_257,39,Judge_254,88
389,Judge_82,57,Judge_172,97,Judge_272,73
390,Judge_22,94,Judge_6,37,Judge_57,36
391,Judge_57,81,Judge_73,96,Judge_198,82
392,Judge_113,87,Judge_161,35,Judge_100,38
393,Judge_295,41,Judge_267,73,Judge_298,94
394,Judge_43,71,Judge_3,94,Judge_240,43
395,Judge_78,45,Judge_187,92,Judge_243,95
396,Judge_10,57,Judge_296,91,Judge_191,81
397,Judge_77,83,Judge_33,43,Judge_213,31
398,Judge_119,46,Judge_238,53,Judge_142,67
399,Judge_174,37,Judge_209,58,Judge_255,46
400,Judge_85,65,Judge_19,78,Judge_58,84
401,Judge_246,37,Judge_205,94,Judge_287,82
402,Judge_21,40,Judge_108,45,Judge_260,64
403,Judge_267,40,Judge_10,91,Judge_159,98
404,Judge_27,42,Judge_106,79,Judge_174,98
405,Judge_96,89,Judge_44,80,Judge_209,39
406,Judge_74,91,Judge_238,64,Judge_1,46
407,Judge_124,74,Judge_60,73,Judge_230,40
408,Judge_153,81,Judge_156,31,Judge_238,75
409,Judge_40,78,Judge_42,33,Judge_17,51
410,Judge_131,81,Judge_104,57,Judge_194,65
411,Judge_95,64,Judge_42,79,Judge_56,88
412,Judge_193,50,Judge_213,77,Judge_245,70
413,Judge_200,82,Judge_291,79,Judge_183,91
414,Judge_267,99,Judge_91,45,Judge_284,95
415,Judge_21,44,Judge_255,80,Judge_281,46
416,Judge_154,68,Judge_133,46,Judge_247,95
417,Judge_125,71,Judge_243,86,Judge_242,48
418,Judge_144,30,Judge_46,95,Judge_96,88
419,Judge_224,49,Judge_182,75,Judge_163,73
420,Judge_54,52,Judge_166,34,Judge_64,47
421,Judge_211,97,Judge_100,70,Judge_47,80
422,Judge_194,62,Judge_223,93,Judge_294,93
423,Judge_18,70,Judge_181,92,Judge_234,54
424,Judge_78,95,Judge_88,44,Judge_223,30
425,Judge_220,82,Judge_134,81,Judge_200,56
426,Judge_233,45,Judge_27,61,Judge_253,99
427,Judge_28,39,Judge_218,87,Judge_30,49
428,Judge_131,87,Judge_43,96,Judge_70,96
429,Judge_180,57,Judge_58,34,Judge_50,33
430,Judge_150,38,Judge_92,45,Judge_5,52
431,Judge_277,58,Judge_196,92,Judge_168,87
432,Judge_144,73,Judge_295,54,Judge_146,48
433,Judge_22,59,Judge_244,42,Judge_7,31
434,Judge_116,84,Judge_153,78,Judge_295,92
435,Judge_293,93,Judge_103,61,Judge_226,75
436,Judge_175,86,Judge_181,90,Judge_277,40
437,Judge_217,82,Judge_190,85,Judge_54,60
438,Judge_127,45,Judge_48,41,Judge_81,85
439,Judge_263,80,Judge_242,79,Judge_264,54
440,Judge_242,80,Judge_170,30,Judge_144,44
441,Judge_181,30,Judge_80,59,Judge_287,30
442,Judge_234,31,Judge_187,78,Judge_98,86
443,Judge_222,96,Judge_67,46,Judge_287,64
444,Judge_222,46,Judge_74,96,Judge_283,75
445,Judge_194,38,Judge_79,88,Judge_33,85
446,Judge_40,100,Judge_196,57,Judge_251,56
447,Judge_241,61,Judge_49,49,Judge_142,62
448,Judge_248,42,Judge_53,51,Judge_74,50
449,Judge_99,37,Judge_240,57,Judge_12,48
450,Judge_162,43,Judge_133,86,Judge_42,93
451,Judge_107,97,Judge_218,93,Judge_212,66
452,Judge_82,33,Judge_70,77,Judge_284,43
453,Judge_155,81,Judge_48,84,Judge_292,66
454,Judge_66,43,Judge_35,100,Judge_204,46
455,Judge_143,76,Judge_72,49,Judge_199,90
456,Judge_89,65,Judge_288,47,Judge_196,59
457,Judge_241,72,Judge_177,56,Judge_278,100
458,Judge_22,58,Judge_147,86,Judge_9,37
459,Judge_160,83,Judge_66,92,Judge_201,82
460,Judge_33,66,Judge_197,93,Judge_44,89
461,Judge_72,91,Judge_85,47,Judge_80,87
462,Judge_196,55,Judge_59,88,Judge_142,80
463,Judge_153,55,Judge_129,78,Judge_31,52
464,Judge_260,50,Judge_88,30,Judge_254,60
465,Judge_246,32,Judge_229,97,Judge_23,32
466,Judge_187,69,Judge_260,45,Judge_218,88
467,Judge_76,41,Judge_242,33,Judge_1,71
468,Judge_22,48,Judge_104,92,Judge_33,45
469,Judge_197,35,Judge_167,72,Judge_272,84
470,Judge_86,70,Judge_126,45,Judge_12,39
471,Judge_244,96,Judge_45,37,Judge_39,84
472,Judge_105,37,Judge_231,88,Judge_218,87
473,Judge_178,32,Judge_274,76,Judge_299,67
474,Judge_135,94,Judge_48,84,Judge_90,59
475,Judge_161,48,Judge_77,50,Judge_125,38
476,Judge_192,83,Judge_70,89,Judge_42,86
477,Judge_138,89,Judge_282,67,Judge_145,91
478,Judge_83,99,Judge_185,69,Judge_60,96
479,Judge_233,93,Judge_252,47,Judge_263,51
480,Judge_88,42,Judge_143,89,Judge_243,77
481,Judge_23,43,Judge_294,73,Judge_293,91
482,Judge_289,97,Judge_230,70,Judge_148,83
483,Judge_173,82,Judge_283,38,Judge_132,81
484,Judge_23,66,Judge_107,53,Judge_213,54
485,Judge_289,75,Judge_257,40,Judge_123,58
486,Judge_53,80,Judge_246,39,Judge_203,43
487,Judge_23,62,Judge_212,31,Judge_129,98
488,Judge_271,42,Judge_142,74,Judge_56,62
489,Judge_33,92,Judge_251,99,Judge_164,73
490,Judge_173,52,Judge_132,30,Judge_172,99
491,Judge_98,66,Judge_108,58,Judge_277,67
492,Judge_39,85,Judge_94,78,Judge_256,35
493,Judge_193,46,Judge_119,47,Judge_148,50
494,Judge_5,76,Judge_130,56,Judge_228,41
495,Judge_148,31,Judge_199,76,Judge_155,62
496,Judge_111,87,Judge_54,72,Judge_33,30
497,Judge_151,94,Judge_124,70,Judge_202,43
498,Judge_121,87,Judge_234,76,Judge_180,41
499,Judge_165,62,Judge_210,49,Judge_3,62
500,Judge_21,33,Judge_152,85,Judge_263,60
501,Judge_159,47,Judge_252,72,Judge_97,65
