School,Class,ID,Gender,Address,Height,Weight,Math,Physics
S_1,C_1,1101,M,street_1,173,63,34,A+
S_1,C_1,1102,F,street_2,192,73,32.5,B+
S_1,C_1,1103,M,street_2,186,82,87.2,B+
S_1,C_1,1104,F,street_2,167,81,80.4,B-
S_1,C_1,1105,F,street_4,159,64,84.8,B+
S_1,C_2,1201,M,street_5,188,68,97,A-
S_1,C_2,1202,F,street_4,176,94,63.5,B-
S_1,C_2,1203,M,street_6,160,53,58.8,A+
S_1,C_2,1204,F,street_5,162,63,33.8,B
S_1,C_2,1205,F,street_6,167,63,68.4,B-
S_1,C_3,1301,M,street_4,161,68,31.5,B+
S_1,C_3,1302,F,street_1,175,57,87.7,A-
S_1,C_3,1303,M,street_7,188,82,49.7,B
S_1,C_3,1304,M,street_2,195,70,85.2,A
S_1,C_3,1305,F,street_5,187,69,61.7,B-
S_2,C_1,2101,M,street_7,174,84,83.3,C
S_2,C_1,2102,F,street_6,161,61,50.6,B+
S_2,C_1,2103,M,street_4,157,61,52.5,B-
S_2,C_1,2104,F,street_5,159,97,72.2,B+
S_2,C_1,2105,M,street_4,170,81,34.2,A
S_2,C_2,2201,M,street_5,193,100,39.1,B
S_2,C_2,2202,F,street_7,194,77,68.5,B+
S_2,C_2,2203,M,street_4,155,91,73.8,A+
S_2,C_2,2204,M,street_1,175,74,47.2,B-
S_2,C_2,2205,F,street_7,183,76,85.4,B
S_2,C_3,2301,F,street_4,157,78,72.3,B+
S_2,C_3,2302,M,street_5,171,88,32.7,A
S_2,C_3,2303,F,street_7,190,99,65.9,C
S_2,C_3,2304,F,street_6,164,81,95.5,A-
S_2,C_3,2305,M,street_4,187,73,48.9,B
S_2,C_4,2401,F,street_2,192,62,45.3,A
S_2,C_4,2402,M,street_7,166,82,48.7,B
S_2,C_4,2403,F,street_6,158,60,59.7,B+
S_2,C_4,2404,F,street_2,160,84,67.7,B
S_2,C_4,2405,F,street_6,193,54,47.6,B
